iter	Passed	Remaining
0	0	573
1	0	479
2	1	508
3	2	535
4	2	520
5	3	500
6	3	493
7	3	481
8	4	474
9	5	521
10	5	512
11	6	503
12	6	495
13	6	489
14	7	483
15	7	481
16	8	480
17	8	481
18	9	484
19	9	481
20	10	478
21	10	475
22	11	475
23	11	474
24	12	471
25	12	469
26	12	466
27	13	464
28	13	462
29	14	457
30	14	455
31	15	453
32	15	451
33	15	450
34	16	449
35	16	447
36	17	445
37	17	442
38	17	439
39	18	438
40	18	437
41	19	436
42	19	435
43	20	436
44	21	453
45	22	475
46	23	486
47	24	487
48	25	486
49	25	484
50	25	483
51	26	481
52	26	480
53	27	478
54	27	476
55	28	475
56	28	473
57	29	471
58	29	470
59	30	470
60	30	469
61	30	467
62	31	466
63	31	465
64	32	464
65	33	467
66	33	469
67	35	489
68	36	498
69	37	497
70	38	497
71	38	496
72	38	495
73	39	493
74	39	489
75	40	487
76	40	486
77	41	484
78	41	484
79	42	483
80	42	481
81	42	479
82	43	478
83	43	476
84	44	475
85	44	473
86	44	471
87	45	470
88	45	468
89	46	467
90	46	466
91	47	464
92	47	463
93	47	461
94	48	463
95	50	473
96	50	472
97	51	478
98	52	477
99	53	481
100	54	482
101	54	483
102	55	480
103	56	482
104	56	481
105	56	478
106	57	482
107	58	481
108	58	479
109	58	477
110	59	475
111	59	474
112	60	473
113	60	471
114	61	470
115	61	468
116	61	467
117	62	466
118	62	465
119	63	463
120	63	461
121	64	460
122	64	461
123	65	461
124	65	461
125	66	460
126	67	462
127	67	462
128	68	461
129	68	460
130	69	461
131	70	460
132	70	460
133	71	459
134	72	461
135	72	460
136	72	459
137	73	458
138	73	457
139	74	456
140	74	455
141	75	458
142	76	458
143	77	457
144	77	456
145	77	455
146	79	464
147	80	463
148	81	463
149	82	466
150	84	473
151	85	477
152	86	478
153	87	481
154	89	488
155	89	486
156	90	485
157	91	485
158	91	484
159	92	484
160	92	483
161	93	482
162	93	482
163	95	484
164	95	483
165	96	483
166	96	482
167	97	481
168	97	480
169	98	479
170	98	479
171	99	478
172	99	477
173	100	477
174	101	476
175	101	475
176	102	475
177	102	474
178	103	473
179	103	473
180	104	472
181	104	471
182	105	471
183	106	470
184	106	469
185	107	468
186	107	468
187	108	468
188	109	467
189	109	467
190	110	467
191	110	466
192	111	465
193	111	465
194	112	464
195	113	463
196	113	462
197	114	461
198	114	461
199	115	460
200	115	459
201	116	460
202	117	460
203	117	460
204	118	459
205	119	458
206	119	458
207	120	457
208	120	456
209	121	456
210	121	455
211	122	454
212	122	453
213	123	453
214	124	453
215	124	453
216	125	452
217	126	452
218	126	451
219	127	450
220	127	450
221	128	449
222	128	449
223	129	448
224	130	448
225	130	447
226	131	447
227	131	446
228	132	446
229	133	445
230	133	444
231	133	443
232	134	442
233	134	441
234	135	440
235	135	439
236	136	438
237	136	437
238	137	436
239	137	435
240	138	435
241	138	435
242	139	434
243	140	433
244	140	433
245	141	432
246	141	431
247	142	431
248	142	430
249	143	429
250	143	428
251	144	428
252	144	427
253	145	426
254	145	425
255	146	425
256	146	424
257	147	423
258	147	423
259	148	421
260	148	421
261	149	420
262	149	419
263	150	418
264	150	417
265	150	416
266	151	415
267	151	414
268	152	413
269	152	412
270	153	412
271	154	412
272	154	411
273	155	410
274	155	410
275	156	409
276	156	409
277	157	408
278	157	407
279	158	406
280	158	406
281	159	405
282	159	404
283	160	404
284	161	404
285	161	403
286	161	402
287	162	401
288	162	400
289	163	399
290	163	398
291	164	398
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	393
298	167	392
299	167	391
300	168	390
301	168	389
302	169	388
303	169	388
304	170	387
305	170	386
306	171	386
307	171	386
308	172	385
309	172	385
310	173	384
311	173	383
312	174	382
313	174	381
314	175	381
315	175	380
316	176	379
317	176	379
318	177	378
319	177	377
320	178	376
321	178	375
322	178	375
323	179	374
324	179	373
325	180	372
326	180	371
327	181	371
328	181	370
329	182	369
330	182	369
331	183	368
332	183	368
333	184	367
334	185	368
335	186	368
336	187	368
